z   Li_{-1/2}   Li_{1/2}   Li_{3/2}   Li_{5/2}   Li_{7/2}
-12.530075187969928   -3.6162235239294155e-06   -3.6162327708560855e-06   -3.6162373943285214e-06   -3.616239706067773e-06   -3.61624086193841e-06
-12.276942355889723   -4.657885616481613e-06   -4.6579009578839304e-06   -4.657908628604539e-06   -4.657912463971326e-06   -4.6579143816568794e-06
-12.023809523809526   -5.999598494439453e-06   -5.999623947059352e-06   -5.999636673410863e-06   -5.999643036600472e-06   -5.9996462181998945e-06
-11.770676691729328   -7.72779011426065e-06   -7.727832342176808e-06   -7.727853456223703e-06   -7.727864013276756e-06   -7.727869291813151e-06
-11.517543859649123   -9.953782417683732e-06   -9.953852477090605e-06   -9.953887506983838e-06   -9.953905021993722e-06   -9.953913779519753e-06
-11.264411027568926   -1.2820960858054864e-05   -1.2821077091954104e-05   -1.282113520930932e-05   -1.2821164268122127e-05   -1.2821178797573597e-05
-11.011278195488721   -1.6514008286727856e-05   -1.6514201127371452e-05   -1.6514297548559998e-05   -1.6514345759443186e-05   -1.651436986498109e-05
-10.758145363408524   -2.127079728515676e-05   -2.127111722150462e-05   -2.1271277191530766e-05   -2.1271357177161247e-05   -2.127139717018229e-05
-10.505012531328326   -2.7397705786727885e-05   -2.7398236582703973e-05   -2.7398501984650127e-05   -2.739863468694259e-05   -2.7398701038528627e-05
-10.251879699248121   -3.528934053437575e-05   -3.52902211581564e-05   -3.529066147850504e-05   -3.529088164149884e-05   -3.529099172393559e-05
-9.998746867167924   -4.5453935503213605e-05   -4.5455396507816426e-05   -4.5456127028192815e-05   -4.545649229440614e-05   -4.5456674929521214e-05
-9.74561403508772   -5.854605572828662e-05   -5.854847960587228e-05   -5.8549691583290186e-05   -5.8550297584874535e-05   -5.85506005899586e-05
-9.492481203007522   -7.54087038278376e-05   -7.541272513369528e-05   -7.541473586916283e-05   -7.541574126441053e-05   -7.541624397120592e-05
-9.239348370927324   -9.712752599395554e-05   -9.713419744164899e-05   -9.713753334187269e-05   -9.713920135077964e-05   -9.714003537483218e-05
-8.98621553884712   -0.00012510058332463258   -0.0001251116513112938   -0.0001251171856815198   -0.0001251199529922722   -0.00012512133668953016
-8.733082706766922   -0.00016112813993978027   -0.00016114650157916796   -0.00016115568320422698   -0.00016116027428523264   -0.00016116256991523278
-8.479949874686717   -0.00020752818037542934   -0.00020755864156924667   -0.00020757387388705738   -0.00020758149061965477   -0.00020758529917719863
-8.22681704260652   -0.00026728497911241556   -0.0002673355118592443   -0.0002673607819097814   -0.00026737341816091725   -0.0002673797366951475
-7.973684210526315   -0.0003442400962408116   -0.00034432392377330097   -0.000344365845396343   -0.0003443868088272358   -0.00034439729141591595
-7.7205513784461175   -0.0004433377770265739   -0.0004434768314265096   -0.0004435463754131339   -0.00044358115300320724   -0.0004435985436641333
-7.46741854636592   -0.0005709400237097438   -0.0005711706785318706   -0.0005712860418069311   -0.0005713437354024541   -0.000571372586187045
-7.214285714285715   -0.0007352307417764502   -0.0007356133147318331   -0.0007358046778259812   -0.0007359003849210283   -0.0007359482469868321
-6.961152882205518   -0.0009467335150922795   -0.0009473680162473255   -0.0009476854304859111   -0.0009478441921840768   -0.0009479235912324163
-6.708020050125313   -0.001218973916011086   -0.001220026137914719   -0.0012205525984227935   -0.001220815945264864   -0.0012209476575659071
-6.454887218045116   -0.001569324969679996   -0.0015710696931619304   -0.001571942801390124   -0.0015723796045238418   -0.001572598089144912
-6.201754385964918   -0.0020200835578017993   -0.002022976063610145   -0.002024423910345019   -0.002025148365513302   -0.0020255107704955
-5.948621553884713   -0.002599836094902633   -0.0026046304443535337   -0.0026070310212173322   -0.002608232445135618   -0.0026088335359507205
-5.695488721804516   -0.0033451833442858445   -0.0033531278434695217   -0.0033571073527866447   -0.0033590995313112658   -0.0033600964295198584
-5.442355889724311   -0.004302905769265967   -0.00431606561553065   -0.004322661023488391   -0.0043259638999453036   -0.004327617065055881
-5.189223057644114   -0.005532660303355294   -0.0055544493881027395   -0.005565376941448717   -0.005570851751613338   -0.005573592842003757
-4.936090225563909   -0.007110303086414821   -0.007146358888602073   -0.007164457114648378   -0.0071735297511430806   -0.007178073931069893
-4.682957393483711   -0.009131923936553309   -0.009191543358896844   -0.009221502753658755   -0.00923653256972921   -0.009244064240270794
-4.429824561403514   -0.011718646085631846   -0.011817134525681396   -0.011866696977181982   -0.011891584893384113   -0.011904064569125657
-4.176691729323309   -0.015022171424800317   -0.015184670476204044   -0.015266595581576461   -0.015307785002552128   -0.015328455757497394
-3.9235588972431117   -0.01923091048101813   -0.019498602723636477   -0.019633880362159097   -0.019702000918803867   -0.01973622292776042
-3.670426065162907   -0.02457628937499404   -0.025016389510545887   -0.025239465636202503   -0.025352024790731533   -0.025408647869180408
-3.4172932330827095   -0.03133842303055534   -0.03206012806331314   -0.03242735782165989   -0.032613132041012384   -0.03270674745368287
-3.164160401002512   -0.039849728573876045   -0.041029400455942694   -0.04163262404477391   -0.04193878893828039   -0.04209341215381166
-2.9110275689223073   -0.050494181601218935   -0.0524145420880957   -0.053402689111660975   -0.053906327552589846   -0.054161397233826555
-2.6578947368421098   -0.0636988044862953   -0.06680882355908795   -0.06842189500753228   -0.06924843031157507   -0.0696685309503284
-2.404761904761905   -0.07991277558424643   -0.08491702007518724   -0.08753875282734426   -0.08889119131663945   -0.08958171047750128
-2.1516290726817076   -0.09956868941661282   -0.10755655231633837   -0.1117945190258519   -0.11399928317092357   -0.11513142454701004
-1.898496240601503   -0.1230208305500682   -0.13564600275877667   -0.14245058559255241   -0.14602827459042597   -0.14787862054580916
-1.6453634085213054   -0.1504581700047781   -0.17017480190212303   -0.18101071564786206   -0.18678332952344456   -0.18979564998242016
-1.3922305764411078   -0.18179664885486627   -0.21214806876148315   -0.22923257263539296   -0.2384823126403079   -0.2433626873751899
-1.1390977443609032   -0.21656686330137956   -0.26250311426042466   -0.2891217261968897   -0.30381974720946814   -0.31168032463611206
-0.8859649122807056   -0.2538276031914467   -0.3219999981724023   -0.3629011013874019   -0.38602628700404434   -0.3985979187905058
-0.632832080200501   -0.2921465740513413   -0.3910977856392764   -0.4529505554278443   -0.4889167512937346   -0.5088557063524414
