r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV, core)/A (crust)   Z_eq   M_p* (MeV, core)/Z (crust)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
0.6301   8.81591741e+34   0.000384266064   7.28603341e+14   -0.547312158   1.00180434   0.406240766   0   451.86348   0   460.38361   0.0304071074   0.358310329   1140.74794
0.6351   8.8151679e+34   0.000393479164   7.28580423e+14   -0.547317668   1.00183311   0.406229501   0   451.874842   0   460.390537   0.0304054303   0.358302138   1140.7361
0.6401   8.81441251e+34   0.000402838183   7.28557324e+14   -0.547323222   1.0018621   0.406218148   0   451.886293   0   460.397519   0.03040374   0.358293881   1140.72418
0.6451   8.81365122e+34   0.000412344258   7.28534044e+14   -0.54732882   1.00189133   0.406206705   0   451.897835   0   460.404556   0.0304020365   0.358285559   1140.71216
0.6501   8.81288405e+34   0.00042199853   7.28510583e+14   -0.547334461   1.00192078   0.406195173   0   451.909467   0   460.411647   0.0304003198   0.358277173   1140.70004
0.6551   8.81211099e+34   0.000431802138   7.28486941e+14   -0.547340146   1.00195046   0.406183552   0   451.921189   0   460.418794   0.03039859   0.358268722   1140.68783
0.6601   8.81133204e+34   0.000441756219   7.28463118e+14   -0.547345874   1.00198037   0.406171843   0   451.933002   0   460.425996   0.0303968469   0.358260205   1140.67553
0.6651   8.81054722e+34   0.000451861914   7.28439114e+14   -0.547351647   1.0020105   0.406160044   0   451.944905   0   460.433252   0.0303950907   0.358251624   1140.66314
0.6701   8.80975651e+34   0.00046212036   7.2841493e+14   -0.547357463   1.00204086   0.406148156   0   451.956899   0   460.440564   0.0303933213   0.358242978   1140.65065
0.6751   8.80895991e+34   0.000472532695   7.28390564e+14   -0.547363322   1.00207146   0.406136179   0   451.968983   0   460.44793   0.0303915387   0.358234267   1140.63807
0.6801   8.80815744e+34   0.000483100057   7.28366018e+14   -0.547369225   1.00210228   0.406124113   0   451.981157   0   460.455352   0.0303897429   0.358225491   1140.6254
0.6851   8.80734908e+34   0.000493823584   7.2834129e+14   -0.547375172   1.00213332   0.406111958   0   451.993422   0   460.462828   0.030387934   0.35821665   1140.61263
0.6901   8.80653485e+34   0.000504704413   7.28316382e+14   -0.547381162   1.0021646   0.406099714   0   452.005777   0   460.470359   0.0303861119   0.358207744   1140.59977
0.6951   8.80571473e+34   0.000515743681   7.28291292e+14   -0.547387197   1.0021961   0.40608738   0   452.018223   0   460.477946   0.0303842766   0.358198773   1140.58682
0.7001   8.80488874e+34   0.000526942526   7.28266022e+14   -0.547393274   1.00222783   0.406074958   0   452.030759   0   460.485587   0.0303824281   0.358189737   1140.57377
0.7051   8.80405687e+34   0.000538302084   7.28240571e+14   -0.547399396   1.00225979   0.406062447   0   452.043386   0   460.493283   0.0303805665   0.358180637   1140.56063
0.7101   8.80321913e+34   0.000549823491   7.28214939e+14   -0.547405561   1.00229198   0.406049846   0   452.056103   0   460.501035   0.0303786917   0.358171471   1140.5474
0.7151   8.80237551e+34   0.000561507883   7.28189126e+14   -0.547411769   1.0023244   0.406037157   0   452.06891   0   460.508841   0.0303768038   0.35816224   1140.53408
0.7201   8.80152601e+34   0.000573356397   7.28163133e+14   -0.547418022   1.00235704   0.406024378   0   452.081808   0   460.516702   0.0303749027   0.358152945   1140.52066
0.7251   8.80067065e+34   0.000585370169   7.28136958e+14   -0.547424318   1.00238992   0.406011511   0   452.094797   0   460.524618   0.0303729884   0.358143584   1140.50715
0.7301   8.79980941e+34   0.000597550333   7.28110602e+14   -0.547430657   1.00242302   0.405998554   0   452.107876   0   460.53259   0.0303710609   0.358134159   1140.49354
0.7351   8.7989423e+34   0.000609898025   7.28084066e+14   -0.547437041   1.00245635   0.405985508   0   452.121045   0   460.540616   0.0303691203   0.358124668   1140.47984
0.7401   8.79806932e+34   0.00062241438   7.28057349e+14   -0.547443467   1.0024899   0.405972373   0   452.134306   0   460.548697   0.0303671666   0.358115113   1140.46605
0.7451   8.79719046e+34   0.000635100532   7.28030451e+14   -0.547449938   1.00252369   0.40595915   0   452.147656   0   460.556834   0.0303651996   0.358105492   1140.45217
0.7501   8.79630575e+34   0.000647957617   7.28003372e+14   -0.547456452   1.0025577   0.405945837   0   452.161098   0   460.565025   0.0303632196   0.358095807   1140.43819
0.7551   8.79541516e+34   0.000660986768   7.27976112e+14   -0.54746301   1.00259195   0.405932435   0   452.17463   0   460.573271   0.0303612264   0.358086056   1140.42412
0.7601   8.79451871e+34   0.000674189119   7.27948671e+14   -0.547469612   1.00262642   0.405918943   0   452.188252   0   460.581573   0.03035922   0.358076241   1140.40996
0.7651   8.79361639e+34   0.000687565805   7.2792105e+14   -0.547476257   1.00266111   0.405905363   0   452.201966   0   460.589929   0.0303572005   0.35806636   1140.3957
0.7701   8.79270821e+34   0.000701117957   7.27893247e+14   -0.547482945   1.00269604   0.405891694   0   452.21577   0   460.598341   0.0303551678   0.358056415   1140.38135
0.7751   8.79179416e+34   0.000714846711   7.27865264e+14   -0.547489678   1.0027312   0.405877936   0   452.229664   0   460.606807   0.030353122   0.358046404   1140.36691
0.7801   8.79087425e+34   0.000728753197   7.278371e+14   -0.547496454   1.00276658   0.405864088   0   452.243649   0   460.615329   0.030351063   0.358036329   1140.35237
0.7851   8.78994848e+34   0.00074283855   7.27808755e+14   -0.547503274   1.00280219   0.405850152   0   452.257725   0   460.623906   0.0303489909   0.358026188   1140.33775
0.7901   8.78901685e+34   0.000757103902   7.27780229e+14   -0.547510137   1.00283803   0.405836126   0   452.271892   0   460.632537   0.0303469057   0.358015983   1140.32302
0.7951   8.78807936e+34   0.000771550384   7.27751523e+14   -0.547517044   1.0028741   0.405822011   0   452.286149   0   460.641224   0.0303448073   0.358005712   1140.30821
