r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV, core)/A (crust)   Z_eq   M_p* (MeV, core)/Z (crust)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
11.7576   7.79531453e+31   1.39662235   3.48304208e+13   -0.659856503   1.54038435   0.0206910678   989.711588   205.823344   40   39.9951454   0.000836246359   0.0163879908   946.725117
11.75885   7.70556732e+31   1.39666021   3.44883747e+13   -0.659875469   1.54031842   0.0204883395   987.735104   205.463288   40   39.9952206   0.000829709885   0.0162263673   946.697716
11.7601   7.61672289e+31   1.39669769   3.41495905e+13   -0.659894431   1.5402523   0.0202875383   985.767118   205.10407   40   39.9952936   0.000823218303   0.0160663059   946.670346
11.76135   7.52877245e+31   1.39673482   3.38140395e+13   -0.659913389   1.54018598   0.0200886475   983.807412   204.745715   40   39.9953647   0.000816771547   0.015907791   946.643008
11.7626   7.44170727e+31   1.39677159   3.34816927e+13   -0.659932343   1.54011947   0.0198916501   981.855763   204.388245   40   39.9954337   0.00081036954   0.0157508074   946.6157
11.76385   7.35551871e+31   1.39680801   3.31525212e+13   -0.659951293   1.54005277   0.0196965288   979.911944   204.031682   40   39.9955009   0.000804012196   0.0155953394   946.588424
11.7651   7.27019819e+31   1.39684408   3.28264956e+13   -0.659970239   1.53998588   0.0195032667   977.975723   203.676045   40   39.9955663   0.00079769942   0.0154413717   946.561179
11.76635   7.18573724e+31   1.3968798   3.25035869e+13   -0.659989181   1.5399188   0.0193118464   976.046869   203.32135   40   39.99563   0.000791431107   0.0152888889   946.533966
11.7676   7.10212745e+31   1.39691517   3.21837654e+13   -0.66000812   1.53985154   0.0191222506   974.125143   202.967613   40   39.995692   0.000785207146   0.0151378755   946.506783
11.76885   7.01936051e+31   1.39695021   3.1867002e+13   -0.660027054   1.5397841   0.018934462   972.210306   202.61485   40   39.9957523   0.000779027415   0.0149883162   946.479633
11.7701   6.93742816e+31   1.39698491   3.15532669e+13   -0.660045984   1.53971647   0.0187484633   970.302116   202.263072   40   39.9958111   0.000772891784   0.0148401957   946.452513
11.77135   6.85632225e+31   1.39701927   3.12425308e+13   -0.660064911   1.53964867   0.0185642371   968.40033   201.91229   40   39.9958685   0.000766800116   0.0146934988   946.425425
11.7726   6.77603471e+31   1.3970533   3.09347641e+13   -0.660083833   1.53958069   0.0183817661   966.504701   201.562514   40   39.9959244   0.000760752267   0.0145482101   946.398368
11.77385   6.69655752e+31   1.39708701   3.06299374e+13   -0.660102752   1.53951254   0.0182010328   964.614982   201.213754   40   39.9959788   0.000754748086   0.0144043145   946.371342
11.7751   6.61788279e+31   1.39712039   3.03280213e+13   -0.660121666   1.53944421   0.01802202   962.730922   200.866015   40   39.996032   0.000748787415   0.0142617971   946.344347
11.77635   6.54000266e+31   1.39715344   3.00289864e+13   -0.660140576   1.53937571   0.0178447103   960.852272   200.519305   40   39.9960839   0.000742870089   0.0141206427   946.317383
11.7776   6.46290938e+31   1.39718618   2.97328034e+13   -0.660159483   1.53930705   0.0176690866   958.97878   200.173628   40   39.9961345   0.000736995936   0.0139808366   946.29045
11.77885   6.38659528e+31   1.3972186   2.94394432e+13   -0.660178385   1.53923821   0.0174951316   957.110193   199.828988   40   39.9961839   0.00073116478   0.0138423639   946.263548
11.7801   6.31105276e+31   1.39725071   2.91488766e+13   -0.660197284   1.53916922   0.0173228282   955.246258   199.485388   40   39.9962322   0.000725376439   0.0137052099   946.236676
11.78135   6.2362743e+31   1.39728251   2.88610747e+13   -0.660216178   1.53910005   0.0171521594   953.386719   199.142829   40   39.9962794   0.000719630724   0.01356936   946.209835
11.7826   6.16225247e+31   1.397314   2.85760088e+13   -0.660235069   1.53903073   0.0169831081   951.531323   198.801313   40   39.9963255   0.000713927443   0.0134347997   946.183024
11.78385   6.0889799e+31   1.39734519   2.82936501e+13   -0.660253955   1.53896125   0.0168156575   949.679815   198.460839   40   39.9963705   0.000708266397   0.0133015147   946.156243
11.7851   6.01644931e+31   1.39737607   2.801397e+13   -0.660272838   1.5388916   0.0166497908   947.831938   198.121407   40   39.9964145   0.000702647383   0.0131694906   946.129491
11.78635   5.9446535e+31   1.39740666   2.77369404e+13   -0.660291716   1.53882181   0.0164854912   945.987438   197.783016   40   39.9964576   0.000697070195   0.0130387133   946.10277
