r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV)   Z_eq   M_p* (MeV)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
0.466   1.35278841e+35   0.000209706539   9.83185847e+14   -0.509528226   1.00133081   0.537266056   0   310.803285   0   484.090753   0.0266073752   0.496279628   1183.69887
0.471   1.35268171e+35   0.000216525412   9.8315544e+14   -0.509533548   1.00135954   0.53725166   0   310.808812   0   484.097144   0.0266066667   0.496266519   1183.68644
0.476   1.35257387e+35   0.00022349039   9.83124709e+14   -0.509538927   1.00138857   0.53723711   0   310.814399   0   484.103603   0.0266059506   0.496253269   1183.67388
0.481   1.3524649e+35   0.000230603016   9.83093654e+14   -0.509544362   1.00141791   0.537222407   0   310.820044   0   484.110131   0.0266052269   0.49623988   1183.66119
0.486   1.35235479e+35   0.000237864829   9.83062274e+14   -0.509549855   1.00144756   0.53720755   0   310.825749   0   484.116727   0.0266044957   0.49622635   1183.64837
0.491   1.35224355e+35   0.000245277373   9.8303057e+14   -0.509555405   1.00147751   0.537192539   0   310.831513   0   484.123391   0.026603757   0.496212681   1183.63541
0.496   1.35213118e+35   0.000252842186   9.82998541e+14   -0.509561012   1.00150777   0.537177374   0   310.837336   0   484.130124   0.0266030106   0.496198872   1183.62232
0.501   1.35201768e+35   0.000260560811   9.82966188e+14   -0.509566675   1.00153834   0.537162056   0   310.843219   0   484.136925   0.0266022567   0.496184923   1183.6091
0.506   1.35190304e+35   0.000268434787   9.82933511e+14   -0.509572396   1.00156922   0.537146584   0   310.849161   0   484.143795   0.0266014953   0.496170833   1183.59575
0.511   1.35178727e+35   0.000276465654   9.8290051e+14   -0.509578173   1.0016004   0.537130958   0   310.855162   0   484.150733   0.0266007263   0.496156604   1183.58226
0.516   1.35167036e+35   0.000284654952   9.82867185e+14   -0.509584008   1.00163189   0.537115179   0   310.861222   0   484.15774   0.0265999497   0.496142235   1183.56864
0.521   1.35155233e+35   0.00029300422   9.82833535e+14   -0.509589899   1.00166369   0.537099246   0   310.867342   0   484.164815   0.0265991656   0.496127726   1183.55489
0.526   1.35143316e+35   0.000301514998   9.82799561e+14   -0.509595848   1.00169579   0.537083159   0   310.87352   0   484.171958   0.0265983739   0.496113076   1183.54101
0.531   1.35131286e+35   0.000310188823   9.82765263e+14   -0.509601853   1.0017282   0.537066919   0   310.879759   0   484.17917   0.0265975747   0.496098287   1183.527
0.536   1.35119143e+35   0.000319027234   9.8273064e+14   -0.509607915   1.00176092   0.537050524   0   310.886056   0   484.18645   0.0265967679   0.496083358   1183.51285
0.541   1.35106887e+35   0.00032803177   9.82695694e+14   -0.509614035   1.00179395   0.537033976   0   310.892413   0   484.193799   0.0265959535   0.496068289   1183.49857
0.546   1.35094517e+35   0.000337203967   9.82660423e+14   -0.509620211   1.00182728   0.537017275   0   310.898829   0   484.201217   0.0265951316   0.49605308   1183.48416
0.551   1.35082035e+35   0.000346545364   9.82624828e+14   -0.509626444   1.00186093   0.537000419   0   310.905304   0   484.208702   0.0265943021   0.49603773   1183.46961
0.556   1.35069439e+35   0.000356057497   9.82588909e+14   -0.509632734   1.00189488   0.53698341   0   310.911839   0   484.216257   0.0265934651   0.496022241   1183.45494
0.561   1.3505673e+35   0.000365741903   9.82552665e+14   -0.509639081   1.00192913   0.536966247   0   310.918433   0   484.22388   0.0265926205   0.496006612   1183.44013
0.566   1.35043909e+35   0.000375600119   9.82516097e+14   -0.509645485   1.0019637   0.536948931   0   310.925087   0   484.231571   0.0265917684   0.495990843   1183.42519
0.571   1.35030974e+35   0.00038563368   9.82479206e+14   -0.509651946   1.00199857   0.536931461   0   310.931799   0   484.239331   0.0265909086   0.495974933   1183.41011
0.576   1.35017926e+35   0.000395844121   9.8244199e+14   -0.509658464   1.00203375   0.536913837   0   310.938572   0   484.247159   0.0265900414   0.495958884   1183.39491
0.581   1.35004765e+35   0.000406232979   9.82404449e+14   -0.509665039   1.00206924   0.536896059   0   310.945403   0   484.255056   0.0265891665   0.495942695   1183.37957
0.586   1.34991491e+35   0.000416801789   9.82366585e+14   -0.509671671   1.00210503   0.536878127   0   310.952294   0   484.263021   0.0265882842   0.495926366   1183.3641
0.591   1.34978104e+35   0.000427552084   9.82328397e+14   -0.50967836   1.00214113   0.536860042   0   310.959244   0   484.271055   0.0265873942   0.495909896   1183.3485
0.596   1.34964605e+35   0.000438485399   9.82289884e+14   -0.509685106   1.00217754   0.536841803   0   310.966254   0   484.279158   0.0265864967   0.495893287   1183.33276
0.601   1.34950992e+35   0.000449603269   9.82251047e+14   -0.509691909   1.00221426   0.53682341   0   310.973323   0   484.287329   0.0265855917   0.495876538   1183.3169
0.606   1.34937266e+35   0.000460907225   9.82211886e+14   -0.509698769   1.00225129   0.536804864   0   310.980452   0   484.295569   0.026584679   0.495859648   1183.3009
0.611   1.34923428e+35   0.000472398802   9.82172401e+14   -0.509705686   1.00228862   0.536786164   0   310.98764   0   484.303877   0.0265837589   0.495842619   1183.28477
0.616   1.34909476e+35   0.000484079533   9.82132592e+14   -0.509712659   1.00232626   0.53676731   0   310.994887   0   484.312254   0.0265828311   0.495825449   1183.2685
0.621   1.34895412e+35   0.000495950949   9.82092459e+14   -0.50971969   1.00236421   0.536748302   0   311.002194   0   484.320699   0.0265818959   0.49580814   1183.25211
0.626   1.34881235e+35   0.000508014583   9.82052002e+14   -0.509726778   1.00240247   0.53672914   0   311.009561   0   484.329213   0.026580953   0.49579069   1183.23558
0.631   1.34866945e+35   0.000520271966   9.8201122e+14   -0.509733922   1.00244103   0.536709825   0   311.016986   0   484.337796   0.0265800026   0.4957731   1183.21892
