r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   A   Z_eq   Z   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
10.9927969   1.14595031e+32   1.39632772   4.53364109e+13   -0.636328852   1.60035658   0.0269089356   1065.41438   228.573643   41.6609243   41.6609243   0.00105222076   0.0226404568   947.766437
10.9940469   1.13205783e+32   1.39637081   4.49224694e+13   -0.636350587   1.60027698   0.0266639489   1064.77003   228.23601   41.6992755   41.6992755   0.00104423239   0.0224325087   947.733393
10.9952969   1.11829608e+32   1.39641351   4.45109707e+13   -0.636372318   1.60019715   0.0264203961   1064.10096   227.89898   41.7374005   41.7374005   0.00103629138   0.0222257139   947.700475
10.9965469   1.10466427e+32   1.39645583   4.41019001e+13   -0.636394044   1.60011709   0.026178268   1063.40682   227.562338   41.7752863   41.7752863   0.00102839724   0.0220200909   947.667711
10.9977969   1.0911616e+32   1.39649776   4.36952436e+13   -0.636415766   1.60003678   0.0259375558   1062.68726   227.225874   41.8129203   41.8129203   0.0010205495   0.0218156574   947.635129
10.9990469   1.07778728e+32   1.39653932   4.32909884e+13   -0.636437482   1.59995625   0.0256982513   1061.94198   226.889388   41.8502905   41.8502905   0.00101274769   0.0216124313   947.602756
11.0002969   1.0645405e+32   1.39658051   4.28891224e+13   -0.636459194   1.59987548   0.0254603468   1061.17067   226.552688   41.8873852   41.8873852   0.00100499136   0.0214104295   947.570619
11.0015469   1.05142046e+32   1.39662132   4.24896341e+13   -0.636480901   1.59979448   0.0252238353   1060.37306   226.21559   41.924193   41.924193   0.000997280086   0.0212096688   947.538746
11.0027969   1.03842634e+32   1.39666176   4.20925132e+13   -0.636502603   1.59971325   0.0249887099   1059.5489   225.877918   41.960703   41.960703   0.000989613444   0.0210101656   947.507165
11.0040469   1.02555731e+32   1.39670182   4.16977499e+13   -0.6365243   1.5996318   0.0247549646   1058.69795   225.539502   41.9969048   41.9969048   0.000981991028   0.0208119356   947.475904
11.0052969   1.01281257e+32   1.39674153   4.13053348e+13   -0.636545992   1.59955012   0.0245225935   1057.82001   225.200182   42.032788   42.032788   0.000974412438   0.0206149945   947.444991
11.0065469   1.00019129e+32   1.39678086   4.09152597e+13   -0.63656768   1.59946821   0.0242915911   1056.91487   224.859802   42.0683429   42.0683429   0.00096687729   0.0204193572   947.414452
11.0077969   9.87692642e+31   1.39681984   4.05275493e+13   -0.636589362   1.59938609   0.0240619711   1055.98365   224.51844   42.1035679   42.1035679   0.000959384961   0.0202250516   947.384347
11.0090469   9.75315801e+31   1.39685845   4.01424624e+13   -0.63661104   1.59930374   0.0238338812   1055.03652   224.177828   42.1385203   42.1385203   0.000951933384   0.0200321855   947.35491
11.0102969   9.63059961e+31   1.3968967   3.97600125e+13   -0.636632713   1.59922117   0.0236073313   1054.0738   223.838097   42.1732062   42.1732062   0.000944522911   0.0198407394   947.326087
11.0115469   9.50924313e+31   1.3969346   3.93801478e+13   -0.636654381   1.59913839   0.0233822942   1053.0932   223.498935   42.2076167   42.2076167   0.000937154391   0.0196506657   947.297756
11.0127969   9.3890805e+31   1.39697214   3.90028194e+13   -0.636676044   1.59905539   0.0231587445   1052.09254   223.160042   42.2417433   42.2417433   0.000929828606   0.0194619191   947.269797
11.0140469   9.27010363e+31   1.39700933   3.86279813e+13   -0.636697702   1.59897218   0.0229366579   1051.06973   222.821132   42.2755776   42.2755776   0.000922546277   0.0192744568   947.24209
11.0152969   9.15230444e+31   1.39704617   3.82555899e+13   -0.636719355   1.59888876   0.022716012   1050.02275   222.481931   42.3091115   42.3091115   0.000915308065   0.0190882376   947.214515
11.0165469   9.03567487e+31   1.39708267   3.78856045e+13   -0.636741003   1.59880512   0.0224967856   1048.94967   222.142178   42.3423372   42.3423372   0.000908114575   0.0189032227   947.186951
11.0177969   8.92020684e+31   1.39711882   3.75179864e+13   -0.636762647   1.59872128   0.0222789587   1047.84864   221.80162   42.3752471   42.3752471   0.000900966361   0.0187193751   947.159279
11.0190469   8.80589228e+31   1.39715462   3.71526997e+13   -0.636784285   1.59863723   0.0220625128   1046.7179   221.460019   42.4078338   42.4078338   0.000893863925   0.0185366596   947.131378
11.0202969   8.69272315e+31   1.39719008   3.67897103e+13   -0.636805919   1.59855297   0.0218474304   1045.55575   221.117145   42.4400901   42.4400901   0.000886807722   0.0183550429   947.103129
11.0215469   8.58069139e+31   1.39722521   3.64289866e+13   -0.636827547   1.59846851   0.0216336954   1044.36057   220.772779   42.4720092   42.4720092   0.000879798162   0.0181744931   947.07441
11.0227969   8.46978896e+31   1.39726   3.60704989e+13   -0.636849171   1.59838384   0.0214212926   1043.13081   220.426711   42.5035843   42.5035843   0.000872835612   0.0179949803   947.0451
11.0240469   8.36000777e+31   1.39729445   3.57144548e+13   -0.63687079   1.59829898   0.021210346   1041.88779   220.08002   42.5348502   42.5348502   0.000865907919   0.017816625   947.015147
11.0252969   8.25133966e+31   1.39732857   3.53611301e+13   -0.636892404   1.59821392   0.0210010169   1040.65785   219.734229   42.565855   42.565855   0.000859001102   0.0176396019   946.984621
11.0265469   8.14377644e+31   1.39736236   3.50104803e+13   -0.636914013   1.59812865   0.0207932779   1039.43538   219.389166   42.5965916   42.5965916   0.00085211912   0.0174638899   946.953564
11.0277969   8.03730996e+31   1.39739582   3.46624617e+13   -0.636935617   1.5980432   0.0205871018   1038.21488   219.04466   42.6270528   42.6270528   0.000845265747   0.017289468   946.922019
11.0290469   7.93193212e+31   1.39742896   3.43170331e+13   -0.636957216   1.59795755   0.0203824631   1036.99108   218.700548   42.6572317   42.6572317   0.000838444485   0.0171163162   946.890027
11.0302969   7.82763487e+31   1.39746178   3.39741551e+13   -0.63697881   1.5978717   0.0201793375   1035.75896   218.356676   42.6871219   42.6871219   0.000831658588   0.0169444157   946.857627
11.0315469   7.72441018e+31   1.39749427   3.36337909e+13   -0.637000399   1.59778567   0.0199777021   1034.51375   218.012899   42.7167168   42.7167168   0.000824911068   0.0167737488   946.824861
11.0327969   7.62225008e+31   1.39752644   3.32959054e+13   -0.637021983   1.59769944   0.0197775352   1033.25087   217.669076   42.7460107   42.7460107   0.000818204711   0.0166042986   946.791768
11.0340469   7.52114664e+31   1.3975583   3.29604658e+13   -0.637043562   1.59761303   0.0195788164   1031.96598   217.325078   42.7749975   42.7749975   0.000811542088   0.0164360495   946.758387
11.0352969   7.42109195e+31   1.39758984   3.26274408e+13   -0.637065136   1.59752644   0.0193815263   1030.65492   216.98078   42.8036719   42.8036719   0.000804925564   0.0162689864   946.724758
11.0365469   7.32207815e+31   1.39762107   3.22968012e+13   -0.637086705   1.59743965   0.0191856468   1029.31377   216.636065   42.8320285   42.8320285   0.00079835731   0.0161030954   946.690919
11.0377969   7.22409743e+31   1.39765199   3.19685193e+13   -0.63710827   1.59735269   0.0189911606   1027.93877   216.290823   42.8600623   42.8600623   0.000791839311   0.0159383633   946.656909
11.0390469   7.127142e+31   1.3976826   3.16425691e+13   -0.637129829   1.59726554   0.0187980516   1026.52637   215.944949   42.8877683   42.8877683   0.000785373377   0.0157747778   946.622766
11.0402969   7.03120412e+31   1.3977129   3.13189264e+13   -0.637151383   1.59717822   0.0186063046   1025.07321   215.598346   42.915142   42.915142   0.000778961146   0.0156123272   946.58853
11.0415469   6.93627608e+31   1.3977429   3.0997568e+13   -0.637172932   1.59709071   0.0184159054   1023.57612   215.250922   42.9421789   42.9421789   0.000772604099   0.0154510007   946.554236
11.0427969   6.84235021e+31   1.3977726   3.06784725e+13   -0.637194476   1.59700303   0.0182268404   1022.03208   214.902592   42.968875   42.968875   0.000766303561   0.0152907881   946.519925
11.0440469   6.74941887e+31   1.397802   3.03616197e+13   -0.637216015   1.59691518   0.018039097   1020.43829   214.553275   42.995226   42.995226   0.000760060714   0.0151316799   946.485632
11.0452969   6.65747446e+31   1.3978311   3.00469908e+13   -0.63723755   1.59682715   0.0178526636   1018.7921   214.202896   43.0212284   43.0212284   0.000753876596   0.0149736671   946.451397
11.0465469   6.56650941e+31   1.39785991   2.9734568e+13   -0.637259079   1.59673895   0.017667529   1017.09103   213.851386   43.0468784   43.0468784   0.000747752114   0.0148167416   946.417257
11.0477969   6.47651621e+31   1.39788842   2.94243348e+13   -0.637280603   1.59665058   0.0174836828   1015.33281   213.49868   43.0721728   43.0721728   0.000741688048   0.0146608955   946.38325
11.0490469   6.38748733e+31   1.39791664   2.91162758e+13   -0.637302122   1.59656204   0.0173011155   1013.51528   213.144721   43.0971083   43.0971083   0.000735685055   0.0145061216   946.349413
11.0502969   6.29941534e+31   1.39794457   2.88103767e+13   -0.637323636   1.59647333   0.0171198179   1011.63651   212.789452   43.121682   43.121682   0.000729743675   0.0143524134   946.315784
